# selector_kind	selector	grammar	built_in_lsp
filename	.bashrc	shell	-
filename	.bash_profile	shell	-
filename	.zshrc	shell	-
filename	.zsh_profile	shell	-
filename	.zprofile	shell	-
filename	BUILD	starlark	-
filename	WORKSPACE	starlark	-
filename	Dockerfile	dockerfile	-
filename	Containerfile	dockerfile	-
filename	dockerfile	dockerfile	-
filename	containerfile	dockerfile	-
filename_prefix	Dockerfile.	dockerfile	-
filename_prefix	Containerfile.	dockerfile	-
extension	rs	rust	Rust
extension	go	golang	Go
extension	yml	yaml	-
extension	yaml	yaml	-
extension	py	python	Python
extension	py3	python	-
extension	pyw	python	-
extension	pyi	python	-
extension	js	javascript	JavaScript
extension	cjs	javascript	JavaScript
extension	mjs	javascript	JavaScript
extension	jsx	jsx	JavaScriptReact
extension	tsx	tsx	TypeScriptReact
extension	ts	typescript	TypeScript
extension	cts	typescript	-
extension	mts	typescript	-
extension	java	java	-
extension	groovy	java	-
extension	gvy	java	-
extension	gy	java	-
extension	gsh	java	-
extension	cpp	cpp	Cpp
extension	cxx	cpp	Cpp
extension	cc	cpp	Cpp
extension	h	cpp	Cpp
extension	hh	cpp	Cpp
extension	hpp	cpp	Cpp
extension	hxx	cpp	Cpp
extension	H	cpp	Cpp
extension	h++	cpp	-
extension	c	c	C
extension	C	-	C
extension	sh	shell	-
extension	zsh	shell	-
extension	bash	shell	-
extension	command	shell	-
extension	cs	csharp	-
extension	html	html	-
extension	htm	html	-
extension	css	css	-
extension	json	json	-
extension	jq	jq	-
extension	tf	hcl	-
extension	hcl	hcl	-
extension	tfvars	hcl	-
extension	lua	lua	-
extension	nix	nix	-
extension	rb	ruby	-
extension	php	php	-
extension	phtml	php	-
extension	toml	toml	-
extension	swift	swift	-
extension	kt	kotlin	-
extension	kts	kotlin	-
extension	scala	scala	-
extension	sbt	scala	-
extension	sc	scala	-
extension	ps1	powershell	-
extension	pwsh	powershell	-
extension	ex	elixir	-
extension	exs	elixir	-
extension	sql	sql	-
extension	bzl	starlark	-
extension	bazel	starlark	-
extension	m	objective-c	-
extension	mm	objective-c	-
extension	xml	xml	-
extension	vue	vue	-
extension	dockerfile	dockerfile	-
extension	md	markdown	-
extension	markdown	markdown	-
